법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,시행일자,자법타법여부,법령상세링크,공백제거법령명
219733,현행,종자산업법 시행규칙,NaN,8223,20200619,435,일부개정,1543000,농림축산식품부,농림축산식품부령,20200619,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=219733&type=HTML&mobileYn=&efYd=20200619,종자산업법시행규칙
235367,현행,종합부동산세법,NaN,9873,20210914,18449,일부개정,1051000,기획재정부,법률,20210914,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=235367&type=HTML&mobileYn=&efYd=20210914,종합부동산세법
240317,현행,종합부동산세법 시행령,NaN,9968,20220215,32425,일부개정,1051000,기획재정부,대통령령,20220215,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240317&type=HTML&mobileYn=&efYd=20220215,종합부동산세법시행령
241497,현행,종합부동산세법 시행규칙,NaN,9967,20220318,900,일부개정,1051000,기획재정부,기획재정부령,20220318,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241497&type=HTML&mobileYn=&efYd=20220318,종합부동산세법시행규칙
201184,현행,주거급여법,NaN,11995,20180116,15358,일부개정,1613000,국토교통부,법률,20181001,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=201184&type=HTML&mobileYn=&efYd=20181001,주거급여법
220519,현행,주거급여법 시행령,NaN,12123,20200804,30893,타법개정,1613000,국토교통부,대통령령,20200805,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=220519&type=HTML&mobileYn=&efYd=20200805,주거급여법시행령
178495,현행,주거급여법 시행규칙,NaN,12149,20151229,270,타법개정,1613000,국토교통부,국토교통부령,20151229,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=178495&type=HTML&mobileYn=&efYd=20151229,주거급여법시행규칙
208484,현행,주거기본법,NaN,12314,20190423,16391,일부개정,1613000,국토교통부,법률,20190423,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=208484&type=HTML&mobileYn=&efYd=20190423,주거기본법
223923,현행,주거기본법 시행령,NaN,12415,20201208,31243,타법개정,1613000,국토교통부,대통령령,20201210,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=223923&type=HTML&mobileYn=&efYd=20201210,주거기본법시행령
202145,현행,주거기본법 시행규칙,NaN,12435,20180209,491,타법개정,1613000,국토교통부,국토교통부령,20180209,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=202145&type=HTML&mobileYn=&efYd=20180209,주거기본법시행규칙
239243,현행,주류 면허 등에 관한 법률,주류면허법,13931,20220106,18723,일부개정,1051000,기획재정부,법률,20220106,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239243&type=HTML&mobileYn=&efYd=20220106,주류면허등에관한법률
240239,현행,주류 면허 등에 관한 법률 시행령,주류면허법시행령,14019,20220215,32415,일부개정,1051000,기획재정부,대통령령,20220215,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240239&type=HTML&mobileYn=&efYd=20220215,주류면허등에관한법률시행령
241459,현행,주류 면허 등에 관한 법률 시행규칙,주류면허법시행규칙,14038,20220318,908,일부개정,1051000,기획재정부,기획재정부령,20220318,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=241459&type=HTML&mobileYn=&efYd=20220318,주류면허등에관한법률시행규칙
192338,현행,주류제조관리사에 관한 규칙,NaN,8237,20170310,601,일부개정,1051000,기획재정부,기획재정부령,20170310,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=192338&type=HTML&mobileYn=&efYd=20170310,주류제조관리사에관한규칙
234023,현행,주민등록법,NaN,1655,20210720,18304,일부개정,1741000,행정안전부,법률,20220121,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=234023&type=HTML&mobileYn=&efYd=20220121,주민등록법
240701,현행,주민등록법 시행령,NaN,4936,20220217,32449,타법개정,1741000,행정안전부,대통령령,20220218,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=240701&type=HTML&mobileYn=&efYd=20220218,주민등록법시행령
239573,현행,주민등록법 시행규칙,NaN,8230,20220119,315,일부개정,1741000,행정안전부,행정안전부령,20220121,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=239573&type=HTML&mobileYn=&efYd=20220121,주민등록법시행규칙
228969,현행,주민소환관리규칙,NaN,10450,20210128,524,일부개정,9760000,중앙선거관리위원회,중앙선거관리위원회규칙,20210309,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=228969&type=HTML&mobileYn=&efYd=20210309,주민소환관리규칙
228577,현행,주민소환에 관한 법률,주민소환법,10208,20210112,17893,타법개정,1741000,행정안전부,법률,20220113,NaN,/DRF/lawService.do?OC=ngho1202&target=law&MST=228577&type=HTML&mobileYn=&efYd=20220113,주민소환에관한법률
